epoch,loss,output_line_0_loss,output_line_1_loss,output_line_2_loss,val_loss,val_output_line_0_loss,val_output_line_1_loss,val_output_line_2_loss
0,2.2783722161019884,0.6321943584252284,0.9667934550115198,0.679384401427134,1.361183340245701,0.33851816705206944,0.6369669826926342,0.38569819295299856
1,1.3455893894702824,0.36045434367341517,0.6018063974248625,0.3833286487581102,1.2180476489064835,0.3032893686435791,0.5761637129467533,0.33859456555071044
2,1.225600722149972,0.3284599730618863,0.5525950600797035,0.3445456896934081,1.1757459123200746,0.29239046757188714,0.5579221577334975,0.32543328379205994
0,2.19919040236038,0.5993044535610665,0.9449421224390383,0.6549438298451495,1.3687830675808432,0.34131280174824796,0.6411893876102198,0.38628087689128904
1,1.3457427179470327,0.36124765819029,0.601618794007829,0.3828762658907841,1.2174988782176066,0.3036836969022971,0.5755883325530601,0.3382268454835737
2,1.2246917803030823,0.3287132850224676,0.5521060065669706,0.34387248842970874,1.1765500221333147,0.2930126836673161,0.5584762533842033,0.32506108656700755
3,1.1445148604652213,0.3082888803056234,0.5186857151203149,0.31754026590373885,1.1699072004877797,0.2905634825757596,0.5560970144144066,0.3232467019843786
4,1.07691736328629,0.29196346862268224,0.48981147407625236,0.2951424212075763,1.1822278225539602,0.29142204760720486,0.5628188370985776,0.3279869371896402
5,1.0183923657749305,0.2781916480404367,0.4642106385078724,0.27599007913690626,1.1954126703834445,0.2936299994314675,0.5698487200140673,0.3319339547770428
6,0.9686233513786775,0.26685302605472594,0.44201413934409023,0.25975618600477135,1.2232847973725356,0.29827558763104534,0.5822352169823299,0.34277399399216657
7,0.9280766585432134,0.25771860983245953,0.4235681629812066,0.24678988639083071,1.2269192949729062,0.29929096890997875,0.584618939387165,0.34300938411166987
8,0.8947558140514007,0.250383786392449,0.4081757597129536,0.23619626857624126,1.2519914371954985,0.3031095018199648,0.5965821790930582,0.3522997597152771
9,0.8674756255767859,0.24461225626021663,0.39528333753056843,0.22758003219448641,1.2874729553746347,0.3089190996135968,0.6131421768110461,0.3654116812758901
10,0.8452736361253648,0.2402402515188401,0.38446361759956804,0.2205697681603105,1.3015864831380122,0.31029100194188086,0.6203038364606784,0.3709916426617605
11,0.8267908469707059,0.2365684568744205,0.3754247182751623,0.21479767141390255,1.3119241467203733,0.31256907348852514,0.6248321761589517,0.37452289860014293
12,0.8108184935663001,0.23340242201994366,0.3676461373059798,0.20976993358279078,1.3362560637074565,0.3160521873970462,0.6386916281530204,0.38151225229076335
13,0.7973028513109814,0.2308756623133909,0.3610428744452116,0.20538431494850679,1.348338178137854,0.3184215756414303,0.6420145755818487,0.38790202276719027
14,0.7850834798494952,0.22882081810714974,0.35475326418255454,0.2015093969930877,1.3651155469335745,0.3210862037521267,0.6521807047028355,0.39184863451337615
15,0.773848066712076,0.22693341264069192,0.34898684170694055,0.19792781328115208,1.3778373723193744,0.3230034493200646,0.6587237425684425,0.3961101855870755
16,0.763560153341993,0.22498555120403835,0.34380901352506477,0.1947655885381598,1.3896287736278439,0.3238475549288294,0.6648080364100856,0.4009731864223023
17,0.7536877501738657,0.22324077029715717,0.3388021237545555,0.19164485681214144,1.403716727719937,0.32618079250779125,0.6703828810580639,0.40715304744260433
18,0.7443987197488439,0.22174064272862007,0.3339705533453666,0.18868752383677237,1.410514115726774,0.3266990249516766,0.6750159830793732,0.4087991113667203
19,0.7347895746804353,0.2201817989014053,0.3289353958047764,0.18567237996549613,1.4405086428893805,0.3291550794704789,0.6942955412716725,0.41705802891475247
